source_id,source_type,agency,title,url,retrieved_at,confidence,use
burnet-elected-officials,current_officeholders_and_terms,Burnet County Elections,Elected Officials,https://burnetcountyelections.com/elected-officials/,2026-08-03,high,Official roster and term cross-check for the bounded elected offices and explicit judicial non-scope offices.
burnet-commissioners-court,current_officeholders_and_structure,Burnet County Commissioners Court,Commissioners Court,https://www.burnetcountytexas.org/page/comm.home,2026-08-03,high,"Official page identifies Bryan Wilson and Commissioners Jim Luther Jr., Damon Beierle, Chad Collier, and Joe Don Dockery; confirms four precinct-elected commissioners."
burnet-commissioner-1,current_officeholder,Burnet County,Commissioner Precinct 1,https://www.burnetcountytexas.org/page/comm.pct1,2026-08-03,high,"Official page identifies Jim Luther, Jr."
burnet-commissioner-2,current_officeholder,Burnet County,Commissioner Precinct 2,https://www.burnetcountytexas.org/page/comm.pct2,2026-08-03,high,Official page identifies Damon Beierle.
burnet-commissioner-3,current_officeholder,Burnet County,Commissioner Precinct 3,https://www.burnetcountytexas.org/page/comm.pct3,2026-08-03,high,"Official page identifies Chad Collier and his January 1, 2025 service start."
burnet-commissioner-4,current_officeholder,Burnet County,Commissioner Precinct 4,https://www.burnetcountytexas.org/page/comm.pct4,2026-08-03,high,Official page identifies Joe Don Dockery.
burnet-sheriff,current_officeholder,Burnet County Sheriff's Office,Command Staff,https://www.burnetsheriff.com/command-staff/,2026-08-03,high,Official Sheriff's Office source for Sheriff Calvin Boyd; county Elections roster is the fallback current-holder cross-check.
burnet-county-clerk,current_officeholder,Burnet County Clerk,County Clerk,https://www.burnetcountytexas.org/page/cclerk.home,2026-08-03,high,Official page identifies Vicinta Stafford.
burnet-district-clerk,current_officeholder,Burnet County District Clerk,District Clerk,https://www.burnetcountytexas.org/page/dclerk.home,2026-08-03,high,Official page identifies Casie Walker.
burnet-tax-assessor,current_officeholder,Burnet County Tax Assessor-Collector,Tax Assessor-Collector,https://www.burnetcountytexas.org/page/taxac.home,2026-08-03,high,Official page identifies DeAnne Fisher.
burnet-treasurer,current_officeholder,Burnet County Treasurer,County Treasurer,https://www.burnetcountytexas.org/page/treas.home,2026-08-03,high,Official page identifies Karrie Crownover.
burnet-county-attorney,current_officeholder_and_scope,Burnet County Attorney,County Attorney,https://www.burnetcountytexas.org/page/attorney.home,2026-08-03,high,Official page identifies Eddie Arredondo and the Burnet County Attorney office.
burnet-district-attorney,current_officeholder_and_scope,Burnet County,District Attorney,https://www.burnetcountytexas.org/page/distatty.home,2026-08-03,high,"Official page identifies Perry Thomas and states that the District Attorney serves Blanco, Burnet, Llano, and San Saba Counties."
district-attorney-office,multi_county_office_structure,33rd & 424th Judicial District Attorney,District Attorney Office,https://33districtattorney.com/,2026-08-03,high,Official District Attorney office source for Perry Thomas and the 33rd/424th Judicial District structure.
burnet-expunction-agencies,prosecutor_separation,Burnet County District Clerk,Expunction Agencies,https://www.burnetcountytexas.org/page/dclerk.expunctions,2026-08-03,high,Official page lists the 33rd & 424th District Attorney and Burnet County Attorney as separate agencies.
burnet-county-court-at-law,explicit_non_scope_office,Burnet County Court at Law,County Court at Law,https://www.burnetcountytexas.org/page/cal.home,2026-08-03,high,Official page identifies Judge Cody Henson; judicial office remains out of scope.
burnet-constables,explicit_non_scope_offices,Burnet County,County Constables,https://www.burnetcountytexas.org/page/constable.home,2026-08-03,high,Official page identifies four elected constables; offices remain out of scope.
burnet-magistrates-and-jps,explicit_non_scope_offices,Burnet County,Magistrate and Justice Court Contacts,https://www.burnetcountytexas.org/page/Magistrate,2026-08-03,high,Official page identifies magistrates and four Justices of the Peace; offices remain out of scope.
burnet-public-defender,explicit_non_scope_office,North Hill Country Public Defender,Public Defender,https://www.burnetcountytexas.org/page/pubdef.home,2026-08-03,high,Official page identifies the separate public-defense office; it is not an elected prosecutor.
burnet-official-arcgis-app,geometry_entrypoint,Burnet County 9-1-1 Addressing,County-Linked ArcGIS Application,https://buco911.maps.arcgis.com/apps/webappviewer/index.html?id=54aa0faa57064472a3cb2039b0e115ad,2026-08-03,high,County-linked ArcGIS application used to resolve the controlling current precinct source.
burnet-official-commissioner-source,commissioner_geometry,Burnet County 9-1-1 / ArcGIS,Resolved Commissioner Precinct Source,https://services3.arcgis.com/et3BBCaOmTkrlfxA/arcgis/rest/services/Online_Map_Final_WFL1/FeatureServer/3,2026-08-03,high,"Resolved official polygon source; district field NAME, source features 4, dissolved to four Commissioner precincts."
census-burnet-county,countywide_geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-03,high,Current official Burnet County boundary for Census GEOID 48053.
census-da-service-area,multi_county_geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-03,high,"Current official county boundaries for Blanco 48031, Burnet 48053, Llano 48299, and San Saba 48411; exact union controls the District Attorney service area."
