source_id,source_type,agency,title,url,retrieved_at,confidence,use
el-paso-elected-officials,current_officeholders_and_structure,El Paso County Elections Department,Elected Officials,https://epcountyvotes.com/elected-officials-and-candidate-information/elected-officials,2026-08-02,high,"Current directory identifies all nine scoped elected officeholders and does not list a County Treasurer."
el-paso-elected-officials-print,current_officeholders_terms_cross_check,El Paso County Elections Department,El Paso County Elected Officials Directory,https://epcountyvotes.com/elected-officials-and-candidate-information/elected-officials/print,2026-08-02,high,"Printable directory independently identifies the nine scoped current holders, term lengths, and next-election dates; it uses Jacqueline Butler for Precinct 1."
el-paso-commissioners-court,current_officeholders,El Paso County Commissioners Court,Commissioners Court,https://www.epcountytx.gov/165/Commissioners-Court,2026-08-02,high,"Official court page identifies County Judge Ricardo A. Samaniego and the four Commissioner offices."
el-paso-county-judge,current_officeholder,El Paso County Judge,County Judge,https://www.epcountytx.gov/206/County-Judge,2026-08-02,high,"Official page identifies Ricardo A. Samaniego as County Judge."
el-paso-commissioner-1,current_officeholder_alias,El Paso County Commissioner Precinct 1,Commissioner Precinct 1,https://www.epcountytx.gov/194/Commissioner-Precinct-1,2026-08-02,high,"Official office page displays Jackie Butler; the Elections directory uses Jacqueline Butler. The release preserves this as one-person alias evidence."
el-paso-commissioner-2,current_officeholder,El Paso County Commissioner Precinct 2,Commissioner Precinct 2,https://www.epcountytx.gov/195/Commissioner-Precinct-2,2026-08-02,high,"Official page identifies David Stout as Commissioner Precinct 2."
el-paso-commissioner-3,current_officeholder_bilingual,El Paso County Commissioner Precinct 3,Commissioner Precinct 3,https://www.epcountytx.gov/196/Commissioner-Precinct-3,2026-08-02,high,"Official English/Spanish page identifies Iliana Holguin as Commissioner Precinct 3 and preserves bilingual mission text."
el-paso-commissioner-4,current_officeholder,El Paso County Commissioner Precinct 4,Commissioner Precinct 4,https://www.epcountytx.gov/197/Commissioner-Precinct-4,2026-08-02,high,"Official page identifies Sergio Coronado as Commissioner Precinct 4."
el-paso-sheriff,current_officeholder,El Paso County Sheriff's Office,Sheriff's Office,https://www.epcountytx.gov/163/Sheriffs-Office,2026-08-02,high,"Current Sheriff's Office homepage identifies Sheriff Oscar Ugarte."
el-paso-county-clerk,current_officeholder,El Paso County Clerk,County Clerk,https://www.epcountytx.gov/204/County-Clerk,2026-08-02,high,"Current office page identifies Delia Briones as County Clerk."
el-paso-district-clerk,current_officeholder,El Paso County District Clerk,Norma Favela Barceleau,https://www.epcounty.com/directory.aspx?EID=143,2026-08-02,high,"Current staff biography identifies Norma Favela Barceleau as the elected District Clerk."
el-paso-tax-assessor,current_officeholder,El Paso County Tax Assessor-Collector,Tax Assessor-Collector,https://www.epcountytx.gov/240/Tax-Assessor-Collector,2026-08-02,high,"Current office page identifies Ruben P. Gonzalez as Tax Assessor-Collector."
el-paso-gis-page,official_map_application,El Paso County GIS,GIS Commissioner Precincts,https://www.epcountytx.gov/835/GIS,2026-08-02,high,"Official county GIS page links the embedded EP Commissioner Precincts web map."
el-paso-portal-item,portal_source_contract,El Paso County GIS,EP Commissioner Precincts Web Map,https://maps.epcounty.com/portal/home/item.html?id=0b4e626d91684cecb1e35828cf52092f,2026-08-02,high,"County portal web-map item resolves operational Commissioner geometry to Website_Basemap/MapServer/10."
el-paso-operational-layer,geometry,El Paso County GIS,Commissioner Precincts,https://maps.epcounty.com/arcgis/rest/services/Website_Basemap/MapServer/10,2026-08-02,high,"App-resolved official polygon layer exposes stable Precinct values 1 through 4 and controls released Commissioner geometry."
el-paso-commissioner-maps-en,geometry_context,El Paso County Elections Department,County Commissioner Maps,https://epcountyvotes.com/maps/county-commissioner-maps,2026-08-02,high,"Official Elections mapping page publishes Commissioner Precincts 1 through 4 in English."
el-paso-commissioner-maps-es,bilingual_geometry_context,El Paso County Elections Department,Mapas de los Precinctos 1-4 de Comisionados de Condado,https://es.epcountyvotes.com/maps/county-commissioner-maps,2026-08-02,high,"Official Spanish-language Elections page publishes the same Commissioner precinct map family."
census-el-paso-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48141."
