source_id,source_type,agency,title,url,retrieved_at,confidence,use
fort-bend-county-home-interim,current_officeholders,Fort Bend County,Welcome to Fort Bend County,https://www.fortbendcountytx.gov/,2026-08-02,high,"Current county homepage labels Daniel Wong Interim County Judge and lists Vincent Morales Jr., Grady Prestage, Andy Meyers, and Dexter L. McCoy as the four current Commissioners."
fort-bend-county-elected-officials,office_structure_and_current_holders,Fort Bend County,Elected Officials,https://www.fortbendcountytx.gov/government/governing-body/elected-officials,2026-08-02,high,"Official elected-office directory identifies the County Judge office and Commissioner Precincts 1 through 4 and lists Daniel Wong with the four current Commissioners. The office structure remains elective even though Wong is the current interim holder."
fort-bend-county-judge,current_officeholder,Fort Bend County Judge,County Judge Daniel Wong,https://www.fortbendcountytx.gov/government/departments/commissioners-court/county-judge,2026-08-02,high,"Current official County Judge page identifies Daniel Wong."
fort-bend-county-judge-interim-term,interim_appointment,Fort Bend County Commissioners Court,Daniel Wong Statement and Oath of Office,https://agendalink.fortbendcountytx.gov/agenda_publish.cfm?dsp=ag&get_month=4&get_year=2026&id=&mt=ALL&seq=4084,2026-08-02,high,"Official agenda records Daniel Wong's County Judge oath for the term April 13, 2026 through December 31, 2026, proving the bounded interim term."
fort-bend-county-stale-kp-george-bio,stale_predecessor,Fort Bend County Judge,About the Fort Bend County Judge,https://www.fortbendcountytx.gov/government/departments/commissioners-court/county-judge/about-fort-bend-county-judge,2026-08-02,high,"Still-live official biography identifies former County Judge KP George. It is preserved as stale predecessor evidence and does not control the current officeholder field."
fort-bend-county-commissioner-1,current_officeholder,Fort Bend County Precinct 1,Commissioner Precinct 1,https://www.fortbendcountytx.gov/government/departments/commissioners-court/commissioner-precinct-1,2026-08-02,high,"Official Precinct 1 page identifies Vincent Morales Jr."
fort-bend-county-commissioner-2,current_officeholder,Fort Bend County Precinct 2,About Commissioner Grady Prestage,https://www.fortbendcountytx.gov/government/departments/commissioners-court/commissioner-precinct-2/about-the-commissioner,2026-08-02,high,"Official Precinct 2 page identifies Grady Prestage."
fort-bend-county-commissioner-3,current_officeholder,Fort Bend County Precinct 3,Meet Commissioner Andy Meyers,https://www.fortbendcountytx.gov/government/departments/commissioners-court/commissioner-precinct-3/meet-commissioner-andy-meyers,2026-08-02,high,"Official Precinct 3 page identifies W. A. Andy Meyers."
fort-bend-county-commissioner-4,current_officeholder,Fort Bend County Precinct 4,Commissioner Precinct 4,https://www.fortbendcountytx.gov/government/departments/commissioners-court/commissioner-precinct-4,2026-08-02,high,"Official Precinct 4 page identifies Dexter L. McCoy."
fort-bend-county-2026-redistricting,geometry_effective_date,Fort Bend County,Current 2026 County Precinct Map,https://www.fortbendcountytx.gov/government/departments/commissioners-court/current-redistricting-boundaries-adopted-jan-1-2026,2026-08-02,high,"Official county page states that the new Commissioner precinct boundaries took effect January 1, 2026."
fort-bend-county-current-precinct-layer,geometry_and_live_roster,Fort Bend County GIS,Current Commissioner Precincts,https://gisportal.fortbendcountytx.gov/arcgis/rest/services/InteractiveMap/Boundaries_Public/FeatureServer/7,2026-08-02,high,"Controlling current polygon layer exposes stable NAME values 1 through 4 plus live COMMISSION, WEBSITE, and EFFECTIVE attributes. Every EFFECTIVE value resolves to January 1, 2026."
fort-bend-county-archive-2022-2025,stale_geometry,Fort Bend County GIS Archive,Commissioners Precincts 2022 to 2025,https://gisportal.fortbendcountytx.gov/arcgis/rest/services/Archive/Archive/FeatureServer/0,2026-08-02,high,"Official archived layer uses stable field PRECINCT for values 1 through 4. All four archived polygons differ from the controlling January 1, 2026 layer and do not control the release."
census-fort-bend-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48157."
