office_name,geography_type,geography_id,officeholder,selection_method,source_url,source_retrieved_at,notes
County Judge,countywide,COUNTYWIDE,Daniel Jones,election,https://www.gillespiecounty.gov/1208/County-Judge,2026-08-02,Current separately elected County Judge. The official County Judge and Commissioners Court pages identify Daniel Jones.
County Commissioner Precinct 1,commissioner_precinct,1,Charles Olfers,election,https://www.gillespiecounty.gov/1292/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 1. The official Commissioners Court page identifies Charles Olfers.
County Commissioner Precinct 2,commissioner_precinct,2,Keith Kramer,election,https://www.gillespiecounty.gov/1292/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 2. The official Commissioners Court page identifies Keith Kramer.
County Commissioner Precinct 3,commissioner_precinct,3,Charles “Chuck” Jenschke,election,https://www.gillespiecounty.gov/1292/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 3. The official Commissioners Court page uses Chuck Jenschke; the canonical form preserves Charles “Chuck” Jenschke as one person.
County Commissioner Precinct 4,commissioner_precinct,4,Don Weinheimer,election,https://www.gillespiecounty.gov/1292/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 4. The official Commissioners Court page identifies Don Weinheimer.
Sheriff,countywide,COUNTYWIDE,Christopher “Chris” Ayala,election,https://www.gillespiecounty.gov/1206/County-Sheriff,2026-08-02,Current separately elected Sheriff. The official office page identifies Chris Ayala; the canonical form preserves Christopher “Chris” Ayala as one person.
County Clerk,countywide,COUNTYWIDE,Lindsey Brown,election,https://www.gillespiecounty.gov/1211/County-Clerk,2026-08-02,Current separately elected County Clerk. The official office page identifies Lindsey Brown.
District Clerk,countywide,COUNTYWIDE,McKenna Monk Herbort,election,https://www.gillespiecounty.gov/1200/District-Clerk,2026-08-02,Current separately elected District Clerk. The official office page identifies McKenna Monk Herbort.
Tax Assessor-Collector,countywide,COUNTYWIDE,Carol Rode Durst,election,https://www.gillespiecounty.gov/1204/County-Tax-Assessor-Collector,2026-08-02,Current separately elected Tax Assessor-Collector. The official office page identifies Carol Rode Durst.
County Treasurer,countywide,COUNTYWIDE,Vicki J. Schmidt,election,https://www.gillespiecounty.gov/1203/County-Treasurer,2026-08-02,Current separately elected County Treasurer. The official office page identifies Vicki J. Schmidt.
County Surveyor,countywide,COUNTYWIDE,"Don Kuhlmann, RPLS",election,https://www.gillespiecounty.gov/1205/County-Surveyor,2026-08-02,"Current elected County Surveyor. The county lists Don Kuhlmann, RPLS and describes the office as elective with a four-year term. The separate County Engineer remains outside the elected roster."
