office_name,geography_type,geography_id,officeholder,source_url,source_retrieved_at,notes
County Judge,countywide,COUNTYWIDE,Richard F. Cortez,https://www.hidalgocounty.us/2121/County-Judge,2026-08-02,"Countywide elected County Judge. The current County Judge page, biography, Commissioners Court page, and County Officials directory identify Richard F. Cortez."
County Commissioner Precinct 1,commissioner_precinct,1,David L. Fuentes,https://www.hidalgocounty.us/357/Commissioner-Pct-1,2026-08-02,"Elected Commissioner for Precinct 1. The office page, staff directory, Commissioners Court page, and current maps page identify David L. Fuentes."
County Commissioner Precinct 2,commissioner_precinct,2,"Eduardo ""Eddie"" Cantu",https://www.hidalgocounty.us/directory.aspx?EID=3194,2026-08-02,"Elected Commissioner for Precinct 2. The current staff directory, Commissioners Court page, Commissioners page, and maps page identify Eduardo ""Eddie"" Cantu."
County Commissioner Precinct 3,commissioner_precinct,3,"Everardo ""Ever"" Villarreal",https://www.hidalgocounty.us/106/Commissioner-Pct-3,2026-08-02,"Elected Commissioner for Precinct 3. The office page, biography, staff directory, Commissioners Court page, and maps page identify Everardo ""Ever"" Villarreal."
County Commissioner Precinct 4,commissioner_precinct,4,Ellie Torres,https://www.hidalgocounty.us/359/Commissioner-Pct-4,2026-08-02,"Elected Commissioner for Precinct 4. The office page, current welcome page, staff directory, Commissioners Court page, and maps page identify Ellie Torres."
Sheriff,countywide,COUNTYWIDE,"J.E. ""Eddie"" Guerra",https://www.hidalgocounty.us/209/Sheriff,2026-08-02,"Countywide elected Sheriff. The Sheriff's Office homepage, Sheriff's page, staff directory, and County Officials directory identify J.E. ""Eddie"" Guerra."
County Clerk,countywide,COUNTYWIDE,"Arturo Guajardo, Jr.",https://www.hidalgocounty.us/161/County-Clerks-Office?DID=487,2026-08-02,"Countywide elected County Clerk. The office page, biography, staff directory, and County Officials directory identify Arturo Guajardo, Jr."
District Clerk,countywide,COUNTYWIDE,Laura Hinojosa,https://www.hidalgocounty.us/192/District-Clerks-Office,2026-08-02,"Countywide elected District Clerk. The office page, staff directory, current copy-request page, and County Officials directory identify Laura Hinojosa."
Tax Assessor-Collector,countywide,COUNTYWIDE,"Pablo ""Paul"" Villarreal, Jr.",https://www.hidalgocounty.us/directory.aspx?EID=2602,2026-08-02,"Countywide elected Tax Assessor-Collector. The current Tax Office directory, individual staff page, campaign-finance page, and County Officials directory identify Pablo ""Paul"" Villarreal, Jr."
County Treasurer,countywide,COUNTYWIDE,Lita Leo,https://www.hidalgocounty.us/111/Treasurer,2026-08-02,"Countywide elected County Treasurer. The current Treasurer page states the office is elected and identifies Lita Leo; the County Officials directory independently identifies her."
