source_id,source_type,agency,title,url,retrieved_at,confidence,use
hidalgo-county-officials,current_officeholders,County of Hidalgo,County Officials,https://www.hidalgocounty.us/937/County-Officials,2026-08-02,high,"Official county directory identifies the ten current elected offices in scope: County Judge, four County Commissioners, Sheriff, County Clerk, District Clerk, Tax Assessor-Collector, and County Treasurer."
hidalgo-county-commissioners-court,current_officeholders_and_body_structure,Hidalgo County Commissioners Court,Commissioners Court,https://www.hidalgocounty.us/79/Commissioners-Court,2026-08-02,high,"Official court page identifies Richard F. Cortez, David L. Fuentes, Eduardo Eddie Cantu, Everardo Ever Villarreal, and Ellie Torres; it separately identifies Commissioners Court and Drainage District meetings."
hidalgo-county-judge,current_officeholder,Hidalgo County Judge,County Judge,https://www.hidalgocounty.us/2121/County-Judge,2026-08-02,high,"Official County Judge page identifies Richard F. Cortez as the current elected County Judge."
hidalgo-county-commissioner-1,current_officeholder,Hidalgo County Commissioner Precinct 1,Commissioner Precinct 1,https://www.hidalgocounty.us/357/Commissioner-Pct-1,2026-08-02,high,"Official Precinct 1 page identifies David L. Fuentes as the current elected Commissioner."
hidalgo-county-commissioner-2,current_officeholder,Hidalgo County Commissioner Precinct 2,Commissioner Precinct 2,https://www.hidalgocounty.us/directory.aspx?EID=3194,2026-08-02,high,"Official staff directory identifies Eduardo Eddie Cantu as the current Precinct 2 Commissioner."
hidalgo-county-commissioner-3,current_officeholder,Hidalgo County Commissioner Precinct 3,Commissioner Precinct 3,https://www.hidalgocounty.us/106/Commissioner-Pct-3,2026-08-02,high,"Official Precinct 3 page identifies Everardo Ever Villarreal as the current elected Commissioner."
hidalgo-county-commissioner-4,current_officeholder,Hidalgo County Commissioner Precinct 4,Commissioner Precinct 4,https://www.hidalgocounty.us/359/Commissioner-Pct-4,2026-08-02,high,"Official Precinct 4 page identifies Ellie Torres as the current elected Commissioner."
hidalgo-county-sheriff,current_officeholder,Hidalgo County Sheriff's Office,Sheriff,https://www.hidalgocounty.us/209/Sheriff,2026-08-02,high,"Official Sheriff's Office page identifies J.E. Eddie Guerra as the current elected Sheriff."
hidalgo-county-county-clerk,current_officeholder,Hidalgo County Clerk,County Clerk,https://www.hidalgocounty.us/161/County-Clerks-Office?DID=487,2026-08-02,high,"Official County Clerk page identifies Arturo Guajardo Jr. as the current elected County Clerk."
hidalgo-county-district-clerk,current_officeholder,Hidalgo County District Clerk,District Clerk,https://www.hidalgocounty.us/192/District-Clerks-Office,2026-08-02,high,"Official District Clerk page identifies Laura Hinojosa as the current elected District Clerk."
hidalgo-county-tax-assessor,current_officeholder,Hidalgo County Tax Office,Tax Assessor-Collector,https://www.hidalgocounty.us/directory.aspx?EID=2602,2026-08-02,high,"Official Tax Office directory identifies Pablo Paul Villarreal Jr. as the current elected Tax Assessor-Collector."
hidalgo-county-treasurer,current_officeholder_and_office_structure,Hidalgo County Treasurer,Treasurer,https://www.hidalgocounty.us/111/Treasurer,2026-08-02,high,"Official Treasurer page identifies Lita Leo and states that the County Treasurer is an elected office."
hidalgo-county-maps,current_precinct_map_context,County of Hidalgo,Maps,https://www.hidalgocounty.us/487/Maps,2026-08-02,high,"Official county maps page publishes current Commissioner precinct map context and links for precinct geography; roster authority remains the County Officials directory and office pages."
hidalgo-drainage-board,concurrent_public_body_assignments,Hidalgo County Drainage District No. 1,Board of Directors,https://www.hcdd1.org/page/Board%20of%20Directors,2026-08-02,high,"Official Drainage District page identifies County Judge Richard F. Cortez as Chairman and Commissioners David L. Fuentes, Eduardo Eddie Cantu, Everardo Ever Villarreal, and Ellie Torres as board members."
hidalgo-drainage-admin,body_structure,Hidalgo County Drainage District No. 1,Our Administration,https://www.hcdd1.org/page/Our%20Admin,2026-08-02,high,"Official administration page states that the Drainage District board consists of the County Judge and four County Commissioners."
hidalgo-drainage-history,historical_body_structure,Hidalgo County Drainage District No. 1,History,https://www.hcdd1.org/page/about.history,2026-08-02,high,"Official history states that management and control of the Drainage District transferred to the Hidalgo County Commissioners Court in 1939."
hidalgo-county-court-live,separate_meeting_identity,Hidalgo County Commissioners Court,Commissioners Court LIVE,https://www.hidalgocounty.us/1939/Commissioners-Court-LIVE,2026-08-02,high,"Official live-meeting page treats Commissioners Court and Drainage District No. 1 as separate consecutive public meetings."
hidalgo-county-2021-redistricting,geometry_adoption,Hidalgo County Commissioners Court,2021 Redistricting Resolution,https://hidalgocountytx.new.swagit.com/videos/148135,2026-08-02,high,"Official November 13, 2021 meeting record documents approval of the redistricting resolution for County Commissioner precincts."
hidalgo-county-arcgis,county_associated_operational_geometry,ArcGIS Online,Hidalgo County Basemap,https://www.arcgis.com/home/item.html?id=bc95c6e0bbed4ba98a16b303219de88a,2026-08-02,high,"Reviewed county-associated ArcGIS item owned by rpresas resolves Commissioner geometry to County_Commissioners_View/FeatureServer/0 with stable field DISTRICT and values 1 through 4. Official county pages independently control the roster and 2021 adoption evidence."
census-hidalgo-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48215."
