office_name,geography_type,geography_id,officeholder,selection_method,source_url,source_retrieved_at,notes
County Judge,countywide,COUNTYWIDE,Jakie Allen,election,https://www.kaufmancounty.net/208/County-Judge,2026-08-02,Current separately elected County Judge. The official County Judge and Commissioners Court pages use Jakie Allen; the campaign-finance index contains both Jakie and Jackie spellings and does not override the office page.
County Commissioner Precinct 1,commissioner_precinct,1,Terry Crow,election,https://www.kaufmancounty.net/159/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 1. The official Commissioners Court page and July 2026 campaign-finance index identify Terry Crow.
County Commissioner Precinct 2,commissioner_precinct,2,William “Skeet” Phillips,election,https://www.kaufmancounty.net/159/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 2. The official Commissioners Court page uses Skeet Phillips while the July 2026 campaign-finance index uses William Phillips; these are retained as one-person aliases.
County Commissioner Precinct 3,commissioner_precinct,3,Kelly Lane,election,https://www.kaufmancounty.net/159/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 3. The official Commissioners Court page and July 2026 campaign-finance index identify Kelly Lane.
County Commissioner Precinct 4,commissioner_precinct,4,Tommy Moore,election,https://www.kaufmancounty.net/159/Commissioners-Court,2026-08-02,Current separately elected Commissioner for Precinct 4. The official Commissioners Court page and July 2026 campaign-finance index identify Tommy Moore.
Sheriff,countywide,COUNTYWIDE,Bryan Beavers,election,https://www.kaufmanso.com/,2026-08-02,Current separately elected Sheriff. The official Sheriff site and July 2026 county campaign-finance index identify Bryan Beavers.
County Clerk,countywide,COUNTYWIDE,Laura Hughes,election,https://www.kaufmancounty.net/166/County-Clerk,2026-08-02,Current separately elected County Clerk. The official office page and July 2026 campaign-finance index identify Laura Hughes.
District Clerk,countywide,COUNTYWIDE,Rhonda Hughey,election,https://www.kaufmancounty.net/232/District-Clerk,2026-08-02,Current separately elected District Clerk. The official office page and July 2026 campaign-finance index identify Rhonda Hughey.
Tax Assessor-Collector,countywide,COUNTYWIDE,Teressa Floyd,election,https://www.kaufmancounty.net/247/Tax-Assessor/QuickLinks,2026-08-02,Current separately elected Tax Assessor-Collector. The official office page uses Teressa Floyd; one July 2026 campaign-finance entry misspells the first name Teresa and is retained as non-controlling alias evidence.
County Treasurer,countywide,COUNTYWIDE,Charles “Chuck” Mohnkern,election,https://www.kaufmancounty.net/211/County-Treasurer,2026-08-02,Current separately elected County Treasurer. The official office page uses Chuck Mohnkern while current campaign-finance records use Charles Mohnkern; these are one-person aliases.
Criminal District Attorney,countywide,COUNTYWIDE,Erleigh Norville Wiley,election,https://www.kaufmancounty.net/217/District-Attorney,2026-08-02,"Current elected Criminal District Attorney. Texas Government Code § 44.229 assigns this one office the duties otherwise conferred on county and district attorneys. The release therefore creates no separate County Attorney or District Attorney office or holder."
