office_name,geography_type,geography_id,officeholder,selection_method,source_url,source_retrieved_at,notes
County Judge,countywide,COUNTYWIDE,Rob Kelly,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,Current separately elected County Judge. The official Commissioners Court page and Elections current-officeholder table identify Rob Kelly.
County Commissioner Precinct 1,commissioner_precinct,1,Tom Jones,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,Current separately elected Commissioner for Precinct 1. The official Commissioners Court page and Elections current-officeholder table identify Tom Jones.
County Commissioner Precinct 2,commissioner_precinct,2,Rich Paces,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,Current separately elected Commissioner for Precinct 2. The official court page uses Rich Paces; the Elections table gives Richard S. “Rich” Paces.
County Commissioner Precinct 3,commissioner_precinct,3,Jeff Holt,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,Current separately elected Commissioner for Precinct 3. The official Commissioners Court page and Elections table identify Jeff Holt.
County Commissioner Precinct 4,commissioner_precinct,4,Don Harris,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,Current separately elected Commissioner for Precinct 4. The official Commissioners Court page and Elections table identify Don Harris.
Sheriff,countywide,COUNTYWIDE,Larry L. Leitha Jr.,election,https://www.kerrcountysheriff.com/about-the-kerr-county-sheriff-s-office,2026-08-02,Current separately elected Sheriff. The official biography identifies Larry L. Leitha and records that voters elected him in 2020; the county Elections table uses Larry L. Leitha Jr.
County Clerk,countywide,COUNTYWIDE,Nadene Alford,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-clerk,2026-08-02,"Current County Clerk. Her Commissioners Court appointment expressly ended December 31, 2024; the current 2025-2026 service therefore is not carried by that expired appointment and is modeled as the elected remainder of the constitutional term."
District Clerk,countywide,COUNTYWIDE,Eunavae Baublit Tonroy,judicial_appointment,https://kerrcountytx.gov/blog/district-clerk-to-retire-march-31-appointment-made-to-serve-out-term,2026-08-02,"Current holder of the elected District Clerk office by joint judicial appointment. Dawn Lantz retired after March 31, 2026; 198th District Judge M. Patrick Maguire and 216th District Judge Albert D. Pattillo III selected Eunavae Baublit Tonroy to complete the unexpired term. The current office page uses Eunavae Baublit."
Tax Assessor-Collector,countywide,COUNTYWIDE,Bob Reeves,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-tax-assessor-collector,2026-08-02,Current separately elected Tax Assessor-Collector. The official department page and Elections current-officeholder table identify Bob Reeves.
County Treasurer,countywide,COUNTYWIDE,Tracy Soldan,election,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-treasurer,2026-08-02,Current separately elected County Treasurer. The official Treasurer page identifies Tracy Soldan and states that voters elect the office for four-year terms.
