source_id,source_type,agency,title,url,retrieved_at,confidence,use
kerr-commissioners-court,current_officeholders,Kerr County Commissioners Court,Commissioners Court,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-commissioners-court,2026-08-02,high,"Official page identifies County Judge Rob Kelly and Commissioners Tom Jones, Rich Paces, Jeff Holt, and Don Harris."
kerr-elections-current-officeholders,current_officeholders_stale_transition_and_map_entrypoint,Kerr County Elections,Kerr County Elections,https://www.kerrcountytx.gov/voting-in-kerr-county/kerr-county-elections,2026-08-02,high,"Current campaign-finance table corroborates the bounded roster but still names predecessor Dawn Lantz as District Clerk. It also identifies County Surveyor Lee Voelkel and other offices retained as non-scope evidence, and links the official Commissioner precinct map."
kerr-sheriff-home,current_officeholder,Kerr County Sheriff’s Office,Sheriff’s Office,https://www.kerrcountysheriff.com/,2026-08-02,high,Official Sheriff’s Office homepage identifies Larry L Leitha as Sheriff.
kerr-sheriff-biography,current_officeholder_and_election,Kerr County Sheriff’s Office,About the Kerr County Sheriff’s Office,https://www.kerrcountysheriff.com/about-the-kerr-county-sheriff-s-office,2026-08-02,high,Official biography identifies Larry L. Leitha and records that he was elected in 2020 as Kerr County’s fourteenth Sheriff.
kerr-county-clerk,current_officeholder,Kerr County Clerk,County Clerk’s Office,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-clerk,2026-08-02,high,Official current office page identifies Nadene Alford as County Clerk.
kerr-county-clerk-2024-appointment-expiry,expired_appointment_transition,Kerr County,Nadene Alford appointed by court as new Kerr County Clerk,https://kerrcountytx.gov/blog/nadene-alford-appointed-by-court-as-new-kerr-county-clerk,2026-08-02,high,"Official announcement states the Commissioners Court appointment ran only through December 31, 2024. It is historical transition evidence and does not classify the current 2025-2026 service as appointed."
kerr-district-clerk-current,current_officeholder,Kerr County District Clerk,Clerk of the District Courts of Kerr County,https://www.kerrcountytx.gov/kerr-county-all-departments/clerk-of-the-district-courts-of-kerr-county,2026-08-02,high,Official current page identifies Eunavae Baublit as District Clerk.
kerr-district-clerk-appointment,current_judicial_appointment,Kerr County,District Clerk Lantz to retire March 31; Tonroy appointed to serve out term,https://kerrcountytx.gov/blog/district-clerk-to-retire-march-31-appointment-made-to-serve-out-term,2026-08-02,high,"Official March 16, 2026 announcement records Dawn Lantz’s March 31 retirement and joint selection of Eunavae Baublit Tonroy by the 198th and 216th District Judges to complete the unexpired term."
kerr-bail-bond-board,current_officeholder_crosscheck,Kerr County Bail Bond Board,Kerr County Bail Bond Board,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-treasurer/kerr-county-bail-bond-board,2026-08-02,high,"Official board membership identifies Eunavae Baublit as District Clerk, Nadene Alford as County Clerk, and the two district judges who made the appointment."
texas-government-code-51-301,statutory_appointment_authority,State of Texas,Texas Government Code § 51.301,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.51.htm#51.301,2026-08-02,high,State law provides that a District Clerk vacancy in a county with multiple district courts is filled by agreement of the judges.
texas-sos-2026-office-qualifications,elected_office_term,Texas Secretary of State,Qualifications for All Public Offices,https://www.sos.texas.gov/elections/candidates/guide/2026/qualifications2026.shtml,2026-08-02,high,Official candidate guide identifies District Clerk and County Clerk as elected offices with four-year terms.
kerr-tax-assessor,current_officeholder,Kerr County Tax Assessor-Collector,Tax Assessor-Collector,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-tax-assessor-collector,2026-08-02,high,Official department page identifies Bob Reeves as Tax Assessor-Collector.
kerr-treasurer,current_officeholder_and_office_structure,Kerr County Treasurer,Kerr County Treasurer,https://www.kerrcountytx.gov/kerr-county-all-departments/kerr-county-treasurer,2026-08-02,high,Official page identifies Tracy Soldan and states that voters elect the County Treasurer for a four-year term.
kerr-treasurer-history,election_history,Kerr County,Soldan represents Kerr among county treasurers at the Capitol,https://kerrcountytx.gov/blog/soldan-represents-kerr-among-county-treasurers-at-the-capitol,2026-08-02,high,"Official county news records that Tracy Soldan ran for public office, won voter support, and became County Treasurer."
kerr-county-surveyor,explicit_non_scope_office,Kerr County Surveyor,Kerr County Surveyor,https://kerrcountytx.gov/kerr-county-all-departments/kerr-county-surveyor,2026-08-02,high,Official page identifies Lee Voelkel and confirms County Surveyor is elected for a four-year term. The office remains explicit but outside the bounded ten-office release.
kerr-arcgis-service-item,geometry_source_item,City of Kerrville GIS,Kerr County Commissioner Precincts 2022,https://www.arcgis.com/home/item.html?id=de7c8e02045a4981a752998bb6406538,2026-08-02,high,ArcGIS item de7c8e02045a4981a752998bb6406538 publishes the official county-linked Commissioner precinct feature service.
kerr-arcgis-precinct-layer,geometry_and_adoption_metadata,City of Kerrville GIS,Kerr County Commissioner Precincts 2022 / Layer 0,https://services1.arcgis.com/Ijqs2ihddUy84otW/ArcGIS/rest/services/Kerr_County_Commissioner_Precincts_2022/FeatureServer/0,2026-08-02,high,"Polygon layer uses stable field precinct with values 1-4. Every feature carries Court Order 39047, order date November 3, 2021, and effective date January 1, 2022."
census-kerr-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,Official county boundary for Census GEOID 48265.
