office_name,geography_type,geography_id,officeholder,source_url,source_retrieved_at,notes
County Judge,countywide,COUNTYWIDE,Mark J. Keough,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected County Judge. The official Elections roster revised February 18, 2026 identifies Mark Keough; his current officeholder site independently identifies him as Montgomery County Judge."
County Commissioner Precinct 1,commissioner_precinct,1,Robert C. Walker,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Elected Commissioner for Precinct 1. The Elections roster identifies Robert Walker, the Precinct 1 officeholder site identifies Commissioner Robert Walker, and the live GIS REPNAME1 value is Robert Walker."
County Commissioner Precinct 2,commissioner_precinct,2,Charlie Riley,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Elected Commissioner for Precinct 2. The Elections roster and current Precinct 2 operational site identify Charlie Riley; the live GIS REPNAME1 value is Charlie Riley."
County Commissioner Precinct 3,commissioner_precinct,3,Ritch Wheeler,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Elected Commissioner for Precinct 3. The Elections roster and current Precinct 3 office site identify Ritch Wheeler; the live GIS REPNAME1 value is Ritch Wheeler. James Noack is a predecessor and is not current."
County Commissioner Precinct 4,commissioner_precinct,4,Matt Gray,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Elected Commissioner for Precinct 4. The Elections roster and live GIS REPNAME1 value identify Matt Gray. James Metts is a predecessor, and Ryan Gable is Constable Precinct 3 rather than a County Commissioner."
Sheriff,countywide,COUNTYWIDE,Wesley Doolittle,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected Sheriff. The Elections roster identifies Wesley Doolittle; current sheriff-association and operational public-safety sources independently identify him as Montgomery County Sheriff."
County Clerk,countywide,COUNTYWIDE,L. Brandon Steinmann,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected County Clerk. The Elections roster identifies L. Brandon Steinmann; the current official-records search independently identifies County Clerk L. Brandon Steinmann."
District Clerk,countywide,COUNTYWIDE,Melisa Miller,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected District Clerk. The Elections roster identifies Melisa Miller; current court-record and county-office materials independently identify her as District Clerk."
Tax Assessor-Collector,countywide,COUNTYWIDE,Tammy J. McRae,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected Tax Assessor-Collector. The Elections roster identifies Tammy J. McRae; current Tax Office and candidate-filing materials independently preserve her office identity."
County Treasurer,countywide,COUNTYWIDE,Melanie Bush,https://elections.mctx.org/pdf/votingpcts2026_r1.pdf,2026-08-02,"Countywide elected County Treasurer. The Elections roster identifies Melanie Bush; current Treasurer and candidate-filing materials independently preserve her office identity."
