source_id,source_url,source_role,retrieved_at,confidence
county_judge,https://www.co.presidio.tx.us/page/presidio.County.Judge,current_officeholder,2026-08-04,high
commissioners,https://www.co.presidio.tx.us/page/presidio.CountyCommissioners,current_officeholder,2026-08-04,high
sheriff,https://www.co.presidio.tx.us/page/presidio.Sheriff,current_officeholder,2026-08-04,high
tax_assessor,https://www.co.presidio.tx.us/page/presidio.County.Assessor.Collector,current_officeholder,2026-08-04,high
county_clerk,https://www.co.presidio.tx.us/page/presidio.County.Clerk,current_officeholder,2026-08-04,high
district_clerk,https://www.co.presidio.tx.us/page/presidio.District.Clerk,current_officeholder,2026-08-04,high
treasurer,https://www.co.presidio.tx.us/page/presidio.County.Treasurer,current_officeholder,2026-08-04,high
county_attorney,https://www.co.presidio.tx.us/page/presidio.County.Attorney,current_officeholder,2026-08-04,high
candidate_filings,https://www.co.presidio.tx.us/page/presidio.CandidateFilings,current_election_evidence,2026-08-04,high
district_attorney,https://www.co.presidio.tx.us/page/presidio.District.Attorney,non_scope,2026-08-04,high
justice,https://www.co.presidio.tx.us/page/presidio.justice,non_scope,2026-08-04,high
auditor,https://www.co.presidio.tx.us/page/presidio.CountyAuditor,non_scope,2026-08-04,high
election_information,https://www.co.presidio.tx.us/page/presidio.Election.Information,ballot_index,2026-08-04,high
2024_ballots,https://www.co.presidio.tx.us/upload/page/4732/2024/november_2024_general_election_sample_ballotskj.pdf,geometry_identity,2026-08-04,high
2026_precinct3,https://www.co.presidio.tx.us/upload/page/4732/2026/Precinct%203%20Sample%20Ballot%20Dem%20Primary.pdf,geometry_identity,2026-08-04,high
2026_precinct4,https://www.co.presidio.tx.us/upload/page/4732/2026/Precinct%204%20Sample%20Ballot%20Dem%20Primary.pdf,geometry_identity,2026-08-04,high
2026_precinct7,https://www.co.presidio.tx.us/upload/page/4732/2026/Precinct%207%20Sample%20Ballot%20Dem%20Primary.pdf,geometry_identity,2026-08-04,high
tlc_precincts,https://data.capitol.texas.gov/dataset/precincts,geometry,2026-08-04,high
census_boundary,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,geometry,2026-08-04,high
constitution,https://statutes.capitol.texas.gov/Docs/CN/htm/CN.8.htm,authority,2026-08-04,high
government_code,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.51.htm,authority,2026-08-04,high
