source_id,source_type,agency,title,url,retrieved_at,confidence,use
schleicher-homepage,current_commissioners,Schleicher County,Homepage and County Commissioners,https://www.schleichercounty.gov/page/homepage,2026-08-03,high,"Official homepage identifies Charlie Bradley and Commissioners Gary Gibson, Steve Nelson, Kirk Griffin, and Chris Meador."
schleicher-commissioners,current_officeholders,Schleicher County Commissioners Court,County Commissioners,https://www.schleichercounty.gov/page/Commissioner.Court,2026-08-03,high,Official page identifies Commissioners for Precincts 1 through 4.
schleicher-county-judge,current_officeholder,Schleicher County Judge,County Judge,https://www.schleichercounty.gov/page/County.Judge,2026-08-03,high,Official page identifies Charlie Bradley.
schleicher-sheriff,current_officeholder,Schleicher County Sheriff's Office,Sheriff's Office,https://www.schleichercounty.gov/page/Sheriff,2026-08-03,high,Official page identifies Sheriff Jason Chatham.
schleicher-county-clerk,combined_clerk_current_officeholder,Schleicher County Clerk,County Clerk,https://www.schleichercounty.gov/page/County.Clerk,2026-08-03,high,Official County Clerk page identifies Marsha L. Maskill as County and District Clerk.
schleicher-district-clerk,combined_clerk_current_officeholder,Schleicher County District Clerk,District Clerk,https://www.schleichercounty.gov/page/District.Clerk,2026-08-03,high,Official District Clerk page identifies the same Marsha L. Maskill as County and District Clerk.
schleicher-elections,combined_clerk_and_current_precincts,Schleicher County Elections,Elections,https://www.schleichercounty.gov/page/Elections,2026-08-03,high,"Official Elections page identifies Maskill as County and District Clerk and lists Precincts 1, 2, 3, and 4."
schleicher-tax-assessor,current_officeholder,Schleicher County Tax Assessor-Collector,Tax Assessor-Collector,https://www.schleichercounty.gov/page/Tax.Assessor,2026-08-03,high,Official page identifies Vanessa Covarrubiaz.
schleicher-treasurer,current_officeholder,Schleicher County Treasurer,County Treasurer,https://www.schleichercounty.gov/page/Treasurer,2026-08-13,high,"Official page identifies Cassandra Buitron as Schleicher County Treasurer. A retained source-drift record preserves the response hash and previous retained holder; no succession date or election event is inferred."
schleicher-county-attorney,explicit_non_scope_office,Schleicher County Attorney,County Attorney,https://www.schleichercounty.gov/page/countyattorney,2026-08-03,high,Official page identifies Clint T. Griffin; office remains outside the bounded release.
schleicher-district-attorney,explicit_non_scope_office,Tom Green County District Attorney Offices,District Attorney,https://www.tomgreencountytx.gov/page/da.DistrictAttorneyHome,2026-08-03,high,Official page identifies Allison Palmer as 51st District Attorney; office remains outside the bounded release.
schleicher-district-judge,explicit_non_scope_office,Schleicher County,51st District Court,https://www.schleichercounty.gov/page/District.Judge,2026-08-03,high,Official page identifies Carmen Symes Dusek; office remains outside the bounded release.
schleicher-justice,explicit_non_scope_office,Schleicher County,Justice of the Peace,https://www.schleichercounty.gov/page/Justice,2026-08-03,high,Official page identifies Rahegyn Franke; office remains outside the bounded release.
schleicher-public-notices,redistricting_adoption_entrypoint,Schleicher County,Public Notices — Redistricting Information,https://www.schleichercounty.gov/page/Public.Notices,2026-08-03,high,Official page links Order Number 1112021 with tables and maps.
schleicher-redistricting-order,commissioner_precinct_identity,Schleicher County Commissioners Court,"Adoption Order with Maps and Tables — November 1, 2021",https://www.schleichercounty.gov/upload/page/0091/Adoption%20Order%20with%20maps%20and%20tables%2011.01.2021.pdf,2026-08-03,high,Adopted Commissioner plan controls precinct identity; pinned SHA-256 64e101b0eb131f8ca31ca16abf8975509aa67671ae87ac770e02123a8a5409db.
schleicher-primary-map,current_precinct_numbering,Schleicher County Elections,Schleicher County 2024 Primary Precincts,https://www.schleichercounty.gov/upload/page/0086/Schleicher%20Precinct%20Map.pdf,2026-08-03,high,Current official map preserves four numbered precincts; pinned SHA-256 abf1a78df7f6f6bf532c454b8673eb9bc30267aedcc89131b0c70b652cf6ee19.
texas-constitution-5-20,combined_clerk_constitutional_authority,State of Texas,Texas Constitution Article V §20,https://tcss.legis.texas.gov/resources/CN/htm/CN.5.htm,2026-08-03,high,"Authorizes one elected clerk in counties under 8,000 to perform District and County Clerk duties."
texas-sos-2026-qualifications,combined_clerk_election_authority,Texas Secretary of State,Qualifications for All Public Offices — 2026,https://www.sos.state.tx.us/elections/candidates/guide/2026/qualifications2026.shtml,2026-08-03,high,Lists District & County Clerk as one elected four-year office under Article V §20.
texas-legislative-council-precincts,exact_commissioner_geometry,Texas Legislative Council,2026 Primary Voting Precincts,https://data.capitol.texas.gov/dataset/d04c72b9-16c4-4ab2-8c6d-c666d41e04b7/resource/33ec5b30-ee4d-424f-9769-57b87cb5e311/download/precincts26p.zip,2026-08-03,high,Current authoritative polygon source; Schleicher has exactly four precincts numbered 1 through 4. ZIP SHA-256 70a67743d55a218ba5ce6057816563376f61cf0bc531a77d1edc98644c310107.
census-schleicher-county,countywide_geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-03,high,Official current county boundary for Census GEOID 48413.
