source_id,source_type,agency,title,url,retrieved_at,confidence,use
travis-county-commissioners-court,governance_structure,Travis County,Commissioners Court,https://www.traviscountytx.gov/commissioners-court,2026-08-02,high,"Defines the County Judge and four Commissioners as the county governing body."
travis-county-home,current_officeholders,Travis County,Travis County Homepage,https://www.traviscountytx.gov/,2026-08-02,high,"Current five-member Commissioners Court roster."
travis-county-public-information,current_officeholders,Travis County,Public Information Records,https://www.traviscountytx.gov/departments/public-information-records,2026-08-02,high,"Cross-checks all five Commissioners Court members and links the County Clerk, District Clerk, Sheriff, Tax Office, and Treasurer as elected-official departments."
travis-county-judge,current_officeholder,Travis County,Office of Travis County Judge,https://www.traviscountytx.gov/commissioners-court/county-judge,2026-08-02,high,"Confirms Andy Brown as County Judge."
travis-county-commissioner-1,current_officeholder,Travis County,Commissioner Precinct One,https://www.traviscountytx.gov/commissioners-court/precinct-one,2026-08-02,high,"Confirms Jeff Travillion."
travis-county-commissioner-2,current_officeholder,Travis County,Commissioner Precinct Two,https://www.traviscountytx.gov/commissioners-court/precinct-two,2026-08-02,high,"Confirms Brigid Shea."
travis-county-commissioner-3,current_officeholder,Travis County,Commissioner Precinct Three,https://www.traviscountytx.gov/commissioners-court/precinct-three,2026-08-02,high,"Confirms Ann Howard."
travis-county-commissioner-4,current_officeholder,Travis County,Commissioner Precinct Four,https://www.traviscountytx.gov/commissioners-court/precinct-four,2026-08-02,high,"Confirms George Morales."
travis-county-transparency-contacts,current_officeholders_and_stale_directory,Travis County Financial Transparency,Elected Official Contact Information,https://tctransparency.traviscountytx.gov/EoContact/ContactsList,2026-08-02,high,"Cross-checks Sally Hernandez, Dyana Limon-Mercado, Velva Price, Celia Israel, and Dolores Carter as current countywide officeholders. The same directory still lists Margaret Gomez for Commissioner Precinct 4 and preserves that stale conflict."
travis-county-sheriff,current_officeholder,Travis County Sheriff's Office,Sheriff Sally Hernandez,https://www.tcsheriff.org/about/about-tcso/about-the-sheriff,2026-08-02,high,"Official Sheriff's Office page identifies Sally Hernandez as current Travis County Sheriff."
travis-county-clerk,current_officeholder,Travis County Clerk,About the County Clerk,https://countyclerk.traviscountytx.gov/about-the-county-clerk/,2026-08-02,high,"Official County Clerk page identifies Dyana Limon-Mercado as current County Clerk."
travis-county-district-clerk,current_officeholder,Travis County,District Clerk Biography,https://www.traviscountytx.gov/district-clerk/bio,2026-08-02,high,"Official District Clerk biography identifies Velva L. Price as current District Clerk."
travis-county-tax-assessor-current,current_officeholder,Travis County Tax Office,Celia Israel,https://tax-office.traviscountytx.gov/about-us/celia-israel,2026-08-02,high,"Current Tax Office biography identifies Celia Israel as the elected Travis County Tax Assessor-Collector."
travis-county-tax-assessor-inauguration,officeholder_transition,Travis County Tax Office,Celia Israel Tax Assessor-Collector Inauguration,https://tax-office.traviscountytx.gov/about-us/newsroom/2025/247-celia-israel-inauguration,2026-08-02,high,"Official notice records Israel's November 2024 election and January 3, 2025 swearing-in for a four-year term."
travis-county-tax-assessor-stale-bruce-elfant,stale_officeholder_page,Travis County Tax Office,Bruce Elfant Biography,https://tax-office.traviscountytx.gov/about-us/244-bruce-elfant-bio-2,2026-08-02,high,"Still-live official biography describes Bruce Elfant as Tax Assessor-Collector. More current official evidence identifies Celia Israel; this page is preserved as stale-source evidence."
travis-county-treasurer,current_officeholder,Travis County,Treasurer Request Information,https://www.traviscountytx.gov/treasurer/request-information,2026-08-02,high,"Official Treasurer page identifies Dolores Ortega Carter as Travis County Treasurer."
travis-county-commissioner-precincts-feature,geometry_and_roster,Travis County GIS,Commissioner Precincts FeatureServer,https://gis.traviscountytx.gov/server1/rest/services/Boundaries_and_Jurisdictions/Travis_County_Commissioner_Precincts/FeatureServer/0,2026-08-02,high,"Official current polygon-layer schema exposes PRECINCT and COMMISSIONER fields. The live renderer identifies Jeff Travillion, Brigid Shea, Ann Howard, and George Morales; direct feature queries repeatedly returned service timeout errors."
travis-county-commissioner-precincts-hub,geometry_transport,Travis County GIS,Commissioner Precincts ArcGIS Hub Item,https://www.arcgis.com/home/item.html?id=1fd888e1d8124c1dbd35b5dac25a0a5a,2026-08-02,high,"Official map-service item used for the reliable cached GeoJSON geometry export. Its cached Precinct 4 COMMISSIONER value still contains Margaret Gómez and is preserved as HUB_CACHE_COMMISSIONER instead of controlling the current roster."
census-travis-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for GEOID 48453."
