source_id,source_type,agency,title,url,retrieved_at,confidence,use
williamson-county-commissioners-court,current_officeholders,Williamson County,Commissioners Court,https://www.wilcotx.gov/331/Commissioners-Court,2026-08-02,high,"Authoritative five-member court roster and governing-body context."
williamson-county-judge,current_officeholder,Williamson County,County Judge,https://www.wilcotx.gov/countyjudge,2026-08-02,high,"Confirms Steven Snell as County Judge and the countywide presiding role."
williamson-county-commissioner-1,current_officeholder,Williamson County,Commissioner Precinct One,https://www.wilcotx.gov/349/Precinct-One,2026-08-02,high,"Confirms Terry Cook as Precinct One Commissioner."
williamson-county-commissioner-2,current_officeholder,Williamson County,Commissioner Precinct Two,https://www.wilcotx.gov/comm2,2026-08-02,high,"Confirms Cynthia Long as Precinct Two Commissioner."
williamson-county-commissioner-3,current_officeholder,Williamson County,Commissioner Precinct Three,https://www.wilcotx.gov/408/Precinct-Three,2026-08-02,high,"Confirms Valerie Covey as Precinct Three Commissioner."
williamson-county-commissioner-4,current_officeholder,Williamson County,Commissioner Precinct Four,https://www.wilcotx.gov/comm4,2026-08-02,high,"Confirms Russ Boles as Precinct Four Commissioner."
williamson-county-elected-officials,current_officeholders,Williamson County,Elected Officials,https://www.wilcotx.gov/188/Elected-Officials,2026-08-02,high,"Cross-checks the County Judge, Commissioners, Sheriff, County Clerk, District Clerk, County Treasurer, four Constables, and four Justices of the Peace. The Tax Assessor-Collector entry still lists Larry Gaddes and is preserved as a stale-source conflict after his June 2026 resignation."
williamson-county-sheriff,current_officeholder,Williamson County,Sheriff,https://www.wilcotx.gov/sheriff,2026-08-02,high,"Live official office page identifies Matthew Lindemann as current Sheriff."
williamson-county-clerk,current_officeholder,Williamson County,County Clerk,https://www.wilcotx.gov/countyclerk,2026-08-02,high,"Live official office page identifies Nancy E. Rister as current County Clerk and describes the countywide elected office."
williamson-county-district-clerk,current_officeholder,Williamson County,District Clerk,https://www.wilcotx.gov/districtclerk,2026-08-02,high,"Live official office page identifies Lisa David as current District Clerk."
williamson-county-tax-assessor-collector,current_officeholder,Williamson County,Tax Assessor Collector,https://www.wilcotx.gov/tax,2026-08-02,high,"Live Tax Office page identifies Catherine Totty as the current appointed Tax Assessor-Collector."
williamson-county-tax-assessor-resignation,officeholder_transition,Williamson County Public Affairs,Larry Gaddes resigns as Tax Assessor-Collector,https://www.wilcotx.gov/m/newsflash/home/detail/824,2026-08-02,high,"Official notice records Commissioners Court acceptance of Larry Gaddes's resignation in June 2026 and the need to appoint a successor."
williamson-county-tax-assessor-appointment,officeholder_transition,Williamson County Public Affairs,Commissioners Court appoints Catherine Totty as tax assessor-collector,https://www.wilcotx.gov/m/NewsFlash/Home/Detail/846,2026-08-02,high,"Official notice records Catherine Totty's appointment on July 14, 2026, effective July 21, 2026."
williamson-county-treasurer,current_officeholder,Williamson County,Treasurer,https://www.wilcotx.gov/treasurer,2026-08-02,high,"Live official office page identifies D. Scott Heselmeyer as current County Treasurer."
williamson-county-constables,governance_structure,Williamson County,Constables,https://www.wilcotx.gov/384/Constables,2026-08-02,high,"Confirms four elected Constable offices and identifies Mickey Chance, Jeff Anderson, Kevin Wilkie, and Paul Leal."
williamson-county-constable-1,current_officeholder,Williamson County,Constable Precinct One,https://www.wilcotx.gov/constable1,2026-08-02,high,"Live official office page identifies Mickey Chance as current Constable Precinct 1."
williamson-county-constable-2,current_officeholder,Williamson County,Constable Precinct Two,https://www.wilcotx.gov/398/Precinct-Two,2026-08-02,high,"Live official office page identifies Jeff Anderson as current Constable Precinct 2."
williamson-county-constable-3,current_officeholder,Williamson County,Constable Precinct Three,https://www.wilcotx.gov/399/Precinct-Three,2026-08-02,high,"Live official office page identifies Kevin Wilkie as current Constable Precinct 3."
williamson-county-constable-4,current_officeholder,Williamson County,Constable Precinct Four,https://www.wilcotx.gov/402/Precinct-Four,2026-08-02,high,"Live official office page identifies Paul Leal as current Constable Precinct 4."
williamson-county-justice-courts,governance_structure,Williamson County,Justice Courts,https://www.wilcotx.gov/578/Justice-Courts,2026-08-02,high,"Confirms four Justice-of-the-Peace offices and identifies KT Musselman, Angela Williams, Evelyn McLean, and Rhonda Redden."
williamson-county-jp-1,current_officeholder,Williamson County,Justice of the Peace Precinct One,https://www.wilcotx.gov/579/Precinct-One,2026-08-02,high,"Live official court page identifies KT Musselman as current Justice of the Peace Precinct 1."
williamson-county-jp-2,current_officeholder,Williamson County,Justice of the Peace Precinct Two,https://www.wilcotx.gov/594/Precinct-Two,2026-08-02,high,"Live official court page identifies Angela Williams as current Justice of the Peace Precinct 2."
williamson-county-jp-3,current_officeholder,Williamson County,Justice of the Peace Precinct Three,https://www.wilcotx.gov/611/Precinct-Three,2026-08-02,high,"Live official court page identifies Evelyn McLean as current Justice of the Peace Precinct 3."
williamson-county-jp-4,current_officeholder,Williamson County,Justice of the Peace Precinct Four,https://www.wilcotx.gov/625/Precinct-Four,2026-08-02,high,"Live official court page identifies Rhonda Redden as current Justice of the Peace Precinct 4."
williamson-county-commissioner-precincts,geometry,Williamson County GIS,"Commissioner, Constable, JP Precincts",https://gis.wilco.org/arcgis/rest/services/public/county_elections/MapServer/1,2026-08-02,high,"Official current shared precinct layer with four polygon features. The renderer references hidden field PCT_NUMBER, but the query API exposes stable LABEL_NAME values PCT 1 through PCT 4; each feature serves the paired Commissioner, Constable, and Justice-of-the-Peace offices."
census-williamson-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48491."
