target_id,jurisdiction_name,state,target_type,expected_archetype,expected_classification,row_role,target_key,source_identity,selection_reason,run_start,run_started_at,run_stop,run_stopped_at,runtime_min,review_start,review_started_at,review_stop,review_stopped_at,human_min,match_status,generation_status,exception_class,parity_ok,outcome,next_action,canonical_jurisdiction_id,exception_workspace_url,portfolio_sync_ok,checksum_run_1,checksum_run_2,checksum_parity_ok,timer_integrity_ok
MB100-001,Seattle,WA,place,AR-001,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/place:seattle,place-5363000,Unchanged municipal fixture,TRUE,2026-08-05 08:19:00,TRUE,2026-08-05 08:22:32,3.5,TRUE,2026-08-05 08:21:56,TRUE,2026-08-05 08:23:27,1.5,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-002 Tacoma under the frozen Measured Batch 100 protocol.,jur-us-wa-seattle,,TRUE,207901a0fdd024ef4f8729d6ef3ff54e83304c06352d5b464cf68554463e1174,207901a0fdd024ef4f8729d6ef3ff54e83304c06352d5b464cf68554463e1174,TRUE,
MB100-002,Tacoma,WA,place,AR-001,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/place:tacoma,place-5370000,Second unchanged municipal fixture,TRUE,2026-08-06 08:01:45,TRUE,2026-08-06 08:01:45,0.0,TRUE,2026-08-06 08:01:45,TRUE,2026-08-06 08:01:46,0.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-003 Pierce County under the frozen Measured Batch 100 protocol.,jur-us-wa-tacoma,,TRUE,c5a0e6c26e94713123e9f7184fdef46bee9026a7484a21b89b3e129b75047f2c,c5a0e6c26e94713123e9f7184fdef46bee9026a7484a21b89b3e129b75047f2c,TRUE,
MB100-003,Pierce County,WA,county,AR-002,government,REGRESSION CONTROL,ocd-division/country:us/state:wa/county:pierce,county-53053,Unchanged county fixture,TRUE,2026-08-06 08:01:46,TRUE,2026-08-06 08:01:46,0.0,TRUE,2026-08-06 08:01:46,TRUE,2026-08-06 08:01:47,0.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-004 Colorado Springs School District 11 under the frozen Measured Batch 100 protocol.,jur-us-wa-pierce,,TRUE,c59acc7ca438bc9d27c5a7768a74ac5b15be3173a872b567e87ad0066ba65326,c59acc7ca438bc9d27c5a7768a74ac5b15be3173a872b567e87ad0066ba65326,TRUE,
MB100-004,Colorado Springs School District 11,CO,school district,AR-003,school_system,REGRESSION CONTROL,ocd-division/country:us/state:co/county:el_paso/school_district:colorado_springs_school_district_no._11,GEOID 0803060,Unchanged school-system fixture,TRUE,2026-08-06 08:01:47,TRUE,2026-08-06 08:01:47,0.0,TRUE,2026-08-06 08:01:47,TRUE,2026-08-06 08:01:48,0.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-005 Regional Transportation District under the frozen Measured Batch 100 protocol.,jur-us-co-colorado-springs-school-district-11,,TRUE,72d3ca999ee340414ac4d917a7771ceb922ff1a663950dd944a8cffaa965d5af,72d3ca999ee340414ac4d917a7771ceb922ff1a663950dd944a8cffaa965d5af,TRUE,
MB100-005,Regional Transportation District,CO,transit authority,AR-004,transit_authority,REGRESSION CONTROL,lookup:Regional Transportation District,PID6 143592 / GIDID 06401680300000,Unchanged transit override fixture,TRUE,2026-08-06 08:01:48,TRUE,2026-08-06 08:01:48,0.0,TRUE,2026-08-06 08:01:48,TRUE,2026-08-06 08:01:48,0.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-006 City and County of Denver under the frozen Measured Batch 100 protocol.,jur-us-co-regional-transportation-district,,TRUE,5c96da8af07b8ab34accb5b65f39c04d9602017d9ec54633762c470740d83bc7,5c96da8af07b8ab34accb5b65f39c04d9602017d9ec54633762c470740d83bc7,TRUE,
MB100-006,City and County of Denver,CO,coextensive place/county,AR-005,government,REGRESSION CONTROL,ocd-division/country:us/state:co/place:denver,place-0820000 / county-08031,Unchanged coextensive fixture,TRUE,2026-08-06 08:01:48,TRUE,2026-08-06 08:01:48,0.0,TRUE,2026-08-06 08:01:48,TRUE,2026-08-06 08:01:49,0.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-007 Spokane under the frozen Measured Batch 100 protocol.,jur-us-co-denver,,TRUE,f53c30c83bd64824c48f86cf3dace7c00c805321d027b8bdb9039ea4b6bd186d,f53c30c83bd64824c48f86cf3dace7c00c805321d027b8bdb9039ea4b6bd186d,TRUE,
MB100-007,Spokane,WA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:wa/place:spokane,place-5367000,Previously successful municipality; first timed non-control reuse,TRUE,2026-08-06 08:01:49,TRUE,2026-08-06 08:01:49,0.0,TRUE,2026-08-06 08:01:49,TRUE,2026-08-06 08:01:53,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-008 Albuquerque under the frozen Measured Batch 100 protocol.,jur-us-wa-spokane,,TRUE,c267f5198a11d4fafbe394f28e72aa06118fa4aa4be7ae394e06bef3fc7c25d4,c267f5198a11d4fafbe394f28e72aa06118fa4aa4be7ae394e06bef3fc7c25d4,TRUE,TRUE
MB100-008,Albuquerque,NM,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nm/place:albuquerque,place-3502000,Southwest municipality with exact place GEOID,TRUE,2026-08-06 08:01:53,TRUE,2026-08-06 08:01:53,0.0,TRUE,2026-08-06 08:01:53,TRUE,2026-08-06 08:01:56,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-009 Boston under the frozen Measured Batch 100 protocol.,jur-us-nm-albuquerque,,TRUE,65436b77f7cf757b928bebe523e5a6ecc3f1026654a26d3fb04ad6c17009c39f,65436b77f7cf757b928bebe523e5a6ecc3f1026654a26d3fb04ad6c17009c39f,TRUE,TRUE
MB100-009,Boston,MA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ma/place:boston,place-2507000,New England city and official-name normalization,TRUE,2026-08-06 08:01:56,TRUE,2026-08-06 08:01:56,0.0,TRUE,2026-08-06 08:01:56,TRUE,2026-08-06 08:01:59,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-010 Phoenix under the frozen Measured Batch 100 protocol.,jur-us-ma-boston,,TRUE,4585da7ee3f82209cafdf3c5e8217eacd581e6b251cfdf72f3eb3e906fb9127b,4585da7ee3f82209cafdf3c5e8217eacd581e6b251cfdf72f3eb3e906fb9127b,TRUE,TRUE
MB100-010,Phoenix,AZ,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:az/place:phoenix,place-0455000,Large municipal place in a previously measured state,TRUE,2026-08-06 08:01:59,TRUE,2026-08-06 08:01:59,0.0,TRUE,2026-08-06 08:01:59,TRUE,2026-08-06 08:02:02,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-011 San Antonio under the frozen Measured Batch 100 protocol.,jur-us-az-phoenix,,TRUE,a62bbe21e16d38b6958ef68d8051cdedf271c88ff8db2f352abf5f1d3a9de4e9,a62bbe21e16d38b6958ef68d8051cdedf271c88ff8db2f352abf5f1d3a9de4e9,TRUE,TRUE
