target_id,jurisdiction_name,state,evaluation_id,raw_exists,normalized_exists,identifier_join_ok,qa_ok,parity_ok,source_provenance_ok,complete_ok,confidence,failed_gates,source_manifest_sha256,manifest_sha256,first_run_id,second_run_id,run_asof,evidence_ref
MB100-041,Metropolitan Water Reclamation District,il,3024f408483f66ad1744,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,9fc0aae017667ba80d95edad639f5ecabd1983a1ad3598b2bbde9c004f61c9e6,03c98e4c69fe5d2647593c871be4df44d63cde22f4c28b023d24d208507b8ea1,9c9794fd9c399a8747c5,9c9794fd9c399a8747c5,2026-08-08T03:59:00Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31238564364
MB100-042,Port of Seattle,wa,9af068fc38ffec590dd9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,6e2323265e2b7d50d00c14b0015263bdf7e0798990ee3ce0da72d924c4698bae,c418307979cd77d2c5cb9498728a799b9218a93525a31f9d7379d8b02b7ef794,9c066b54f619e893263c,9c066b54f619e893263c,2026-08-08T06:07:03Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31243535437
MB100-043,Metropolitan Government of Nashville and Davidson County,tn,fe14e3eb1148f190c837,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,4218377b7d39e1f48785ac91a40b677145789e854afb973b74c7593f3ec3c8da,7d601f0993e79a853843c2557c952c677b1c978669b266037094ce6c41fe6f70,935c11db06bac49ff297,935c11db06bac49ff297,2026-08-08T06:38:20Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31244790523
MB100-044,City of New Orleans,la,783f7fca9d1b94e31f33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,e11f2b074b1c71e76c0d279b2f992f28dc0405e132336a001e7b44626ccc7413,b79fb76c2b92f9de67f194cd1b0e58fbc2aea1f983b48cafdd1ed3538363fc36,0eba5159a3b1590fe869,0eba5159a3b1590fe869,2026-08-08T07:13:21Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31246312739
MB100-045,Regional Transit Authority,il,76a716efb72149e4412d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,9fc0aae017667ba80d95edad639f5ecabd1983a1ad3598b2bbde9c004f61c9e6,10bd65a05c4617c581df7fe16fc38469e32e2204e86fd829a416ad1f8ecb1e19,8014dd4e65aeda3be6b2,8014dd4e65aeda3be6b2,2026-08-08T16:03:20Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31269488446
MB100-046,Santa Clarita Valley Water Agency,ca,e4e1d22aabd8b580df2b,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,08e4e60fa1bacf8b431bb1612f232e7cb5729a148f6bebbab3149f1700db7b15,27895719222d3a8e3f786f8a960507a322b4bf6a92041544a611bfa69b430045,24f54218557500e44d3c,24f54218557500e44d3c,2026-08-08T17:50:05Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31271378623
MB100-047,Louisville–Jefferson County Metro Government,ky,c7f5be8a97e6b6cc390b,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,e4d31481e88dbf326a8d9a29415b9a06fbe818ff9c3d7136b020e68c513f634b,bfd3697eedf85cf88d969619dece4af2b6cf1f96e268902d20697ae3635746c1,79519e9819c073520033,79519e9819c073520033,2026-08-08T18:51:17Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31273743115
MB100-048,Greenwich Town,ct,d9f93947017eab8364d7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,19a6d58960b1c63518ca6cf8dec993e3cc8e97041e92d5bb26c8f69671396e02,d570f4b2e071afc008af146ae12f37ef9b8ed6c36a0c0a277011cd771689d607,24aee7a3d6e6160ed67d,24aee7a3d6e6160ed67d,2026-08-08T19:25:29Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31277929191
MB100-049,Baltimore City,md,8cfb73af3245590b4f37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,343697172c077a12b811a1f76cca8e1e5b57674c35b3bc8c98d1e391e6744150,ce7d3442ba31d13f1a4ae8b64bc517e35481055ac88aea7ca73956313c2a9e71,330d52a8794aadf13e35,330d52a8794aadf13e35,2026-08-08T21:01:35Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31288122945
MB100-050,San Juan Municipio,pr,6b484a2d93eb82e22258,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,,e133d9744252a8048484430cb0442623b50d8a11a9be7c6942bebfa3d2bc6ab5,2b559a4b5b480ff54b2d1a6dc7840863d072e355f36e2379eb9a480ed924386d,15dd868368611091e9b8,15dd868368611091e9b8,2026-08-09T02:12:21Z,https://github.com/MightyLoud/Civic-Cartography/actions/runs/31293594827
